               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.024819,             0.11927,           0.0019577,              0.9051,             0.87596,             0.91776,             0.63514,            0.025067,            0.070511,           0.0068541,            0.006832,            0.006832,            0.006832
                  98,            0.025937,             0.13556,           0.0022442,             0.92665,             0.88112,             0.93524,             0.65027,            0.024242,            0.067139,            0.007844,            0.006799,            0.006799,            0.006799
                  99,            0.024637,             0.11226,           0.0017328,             0.93987,             0.87785,             0.92251,             0.64299,            0.023764,            0.069244,           0.0069942,            0.006766,            0.006766,            0.006766
                 100,            0.024319,             0.12059,           0.0018192,             0.91373,             0.86167,             0.91056,             0.64058,            0.023441,            0.070511,           0.0082912,            0.006733,            0.006733,            0.006733
                 101,            0.024984,             0.13309,           0.0019896,              0.8923,             0.83711,             0.89603,             0.63614,            0.023062,            0.065857,            0.012285,              0.0067,              0.0067,              0.0067
                 102,            0.024646,             0.13137,           0.0020512,             0.88574,             0.83438,             0.89876,             0.63945,            0.022924,             0.06575,            0.012426,            0.006667,            0.006667,            0.006667
                 103,            0.023955,             0.12219,           0.0018914,             0.88569,             0.88695,             0.91753,             0.64334,              0.0228,            0.065697,           0.0085554,            0.006634,            0.006634,            0.006634
                 104,            0.024956,             0.12816,           0.0020824,             0.89276,             0.87088,             0.89862,             0.63284,            0.024003,            0.067863,            0.010324,            0.006601,            0.006601,            0.006601
                 105,            0.025709,             0.14423,           0.0022827,             0.90248,             0.85728,             0.90545,             0.62041,            0.025286,            0.073288,           0.0092735,            0.006568,            0.006568,            0.006568
                 106,            0.024706,              0.1262,           0.0020628,              0.8862,             0.88755,             0.91968,             0.60314,            0.024849,             0.07251,            0.009203,            0.006535,            0.006535,            0.006535
                 107,            0.023548,             0.10355,           0.0016642,             0.90122,             0.86572,             0.91655,             0.65184,            0.022635,            0.068024,           0.0080671,            0.006502,            0.006502,            0.006502
                 108,            0.025212,               0.142,           0.0021025,             0.91681,             0.88181,              0.9157,             0.64278,            0.023833,            0.071884,           0.0061359,            0.006469,            0.006469,            0.006469
                 109,            0.024296,              0.1261,           0.0019501,             0.89108,             0.84162,             0.90756,             0.63842,            0.023292,            0.068436,            0.012312,            0.006436,            0.006436,            0.006436
                 110,            0.023184,             0.11031,           0.0017068,             0.88921,             0.82926,             0.87673,             0.62079,             0.02324,            0.066132,            0.010546,            0.006403,            0.006403,            0.006403
                 111,             0.02409,             0.12323,           0.0017393,             0.91089,             0.90746,             0.93038,             0.66704,            0.022147,            0.068214,           0.0068083,             0.00637,             0.00637,             0.00637
                 112,            0.024348,             0.12973,           0.0019087,             0.88488,             0.87773,              0.9166,             0.64197,            0.023023,            0.066895,             0.01067,            0.006337,            0.006337,            0.006337
                 113,            0.023524,             0.12098,           0.0017227,             0.88769,             0.83795,             0.88799,             0.62447,             0.02285,             0.06456,            0.014326,            0.006304,            0.006304,            0.006304
                 114,            0.024218,             0.11883,           0.0017483,             0.87415,             0.86305,             0.90568,             0.65231,            0.023366,            0.065475,            0.010269,            0.006271,            0.006271,            0.006271
                 115,            0.024938,             0.14087,           0.0021548,              0.8909,             0.87911,              0.9157,             0.64388,            0.023706,            0.067818,           0.0092583,            0.006238,            0.006238,            0.006238
                 116,            0.023474,              0.1123,           0.0019273,             0.90449,             0.87603,             0.90969,             0.63255,            0.022803,            0.065491,           0.0088348,            0.006205,            0.006205,            0.006205
                 117,            0.023196,              0.1158,           0.0016613,             0.92575,             0.89192,             0.92632,             0.65611,            0.023263,            0.070717,           0.0055761,            0.006172,            0.006172,            0.006172
                 118,            0.023526,              0.1054,            0.001753,             0.89887,             0.83999,             0.89637,             0.63256,            0.022495,            0.068748,            0.012466,            0.006139,            0.006139,            0.006139
                 119,            0.024469,             0.14105,           0.0020443,             0.93727,             0.89138,             0.93368,             0.65356,            0.023472,            0.069099,           0.0051994,            0.006106,            0.006106,            0.006106
                 120,            0.023387,             0.11459,           0.0017472,             0.94284,             0.88817,             0.93708,             0.65657,            0.023697,             0.07132,           0.0059147,            0.006073,            0.006073,            0.006073
                 121,            0.023335,              0.1247,           0.0017476,             0.92059,             0.90235,             0.94369,             0.65661,            0.022531,            0.067261,           0.0061827,             0.00604,             0.00604,             0.00604
                 122,            0.023144,             0.12315,           0.0016939,             0.86645,              0.8126,             0.85815,             0.59826,            0.022564,            0.067329,            0.023571,            0.006007,            0.006007,            0.006007
                 123,            0.024176,             0.13866,           0.0022593,             0.88822,             0.83806,             0.89909,             0.63552,            0.022416,            0.070503,            0.011917,            0.005974,            0.005974,            0.005974
                 124,            0.022372,             0.11267,           0.0015546,             0.90156,             0.86947,             0.92785,             0.65274,            0.022571,             0.06739,            0.009737,            0.005941,            0.005941,            0.005941
                 125,            0.023152,              0.1212,           0.0015577,             0.89779,             0.86882,             0.93072,             0.65493,            0.022733,             0.06543,            0.010103,            0.005908,            0.005908,            0.005908
                 126,            0.022971,             0.12081,            0.001655,             0.89125,             0.86152,             0.91239,             0.63946,            0.022769,             0.06662,            0.011631,            0.005875,            0.005875,            0.005875
                 127,            0.023156,             0.11776,           0.0017188,             0.88022,             0.83615,             0.88576,             0.62639,            0.022661,            0.067841,            0.014778,            0.005842,            0.005842,            0.005842
                 128,            0.021561,            0.097927,           0.0016797,             0.86314,             0.83548,             0.88961,              0.6253,            0.022652,            0.065201,            0.012722,            0.005809,            0.005809,            0.005809
                 129,            0.023302,             0.12869,           0.0018398,             0.93312,             0.85701,             0.92972,             0.66243,            0.022794,            0.067375,           0.0081682,            0.005776,            0.005776,            0.005776
                 130,            0.023841,             0.14632,           0.0020446,             0.84856,             0.83652,             0.89435,             0.63785,            0.023403,            0.067032,            0.014025,            0.005743,            0.005743,            0.005743
                 131,            0.023121,             0.11463,           0.0016452,             0.93494,             0.87272,             0.92781,             0.66229,            0.023308,            0.068817,           0.0063028,             0.00571,             0.00571,             0.00571
                 132,            0.023551,             0.12826,           0.0017149,             0.92964,             0.88188,             0.92676,             0.64686,            0.024438,            0.074738,           0.0057678,            0.005677,            0.005677,            0.005677
                 133,            0.023002,             0.12126,           0.0016591,             0.91608,             0.85401,             0.92853,             0.65344,            0.023194,            0.071793,            0.010082,            0.005644,            0.005644,            0.005644
                 134,            0.022903,             0.12218,           0.0015591,              0.8945,             0.87043,             0.91623,             0.65794,            0.022316,            0.070732,            0.011681,            0.005611,            0.005611,            0.005611
                 135,             0.02271,             0.11768,           0.0015338,             0.87211,             0.86155,             0.91385,             0.63923,            0.022099,            0.066208,            0.015652,            0.005578,            0.005578,            0.005578
                 136,            0.021712,             0.10912,             0.00145,             0.93794,             0.87191,             0.93962,             0.67277,            0.021969,            0.066048,           0.0066795,            0.005545,            0.005545,            0.005545
                 137,            0.022211,             0.11188,             0.00156,             0.93412,             0.90384,             0.93847,             0.66221,            0.022287,            0.068329,           0.0061026,            0.005512,            0.005512,            0.005512
                 138,             0.02236,             0.11279,           0.0014925,             0.90668,             0.87734,             0.92648,              0.6595,            0.022556,            0.069641,            0.009182,            0.005479,            0.005479,            0.005479
                 139,            0.022749,             0.12177,           0.0016912,              0.9294,              0.8927,             0.93909,             0.66195,            0.022507,            0.069061,            0.007411,            0.005446,            0.005446,            0.005446
                 140,            0.022133,             0.10976,           0.0015183,              0.9385,              0.8809,             0.92851,             0.66236,            0.023083,            0.070473,           0.0050325,            0.005413,            0.005413,            0.005413
                 141,            0.022413,              0.1233,           0.0016812,              0.9225,             0.87656,             0.93159,             0.65998,            0.022788,            0.068298,           0.0089378,             0.00538,             0.00538,             0.00538
                 142,            0.022815,             0.12896,           0.0016423,              0.8724,             0.81765,             0.89303,             0.61375,            0.023933,            0.070572,            0.014711,            0.005347,            0.005347,            0.005347
                 143,            0.023351,             0.13273,           0.0018376,             0.90279,             0.85394,             0.90464,             0.64382,            0.022348,            0.067772,            0.013058,            0.005314,            0.005314,            0.005314
                 144,            0.022181,             0.11786,           0.0016566,             0.91856,             0.86203,              0.9248,             0.66102,            0.022912,            0.072601,           0.0078335,            0.005281,            0.005281,            0.005281
                 145,            0.023044,             0.13159,           0.0017586,             0.90992,             0.84709,             0.90958,             0.64554,            0.023604,            0.075302,           0.0090961,            0.005248,            0.005248,            0.005248
                 146,            0.022181,             0.11812,           0.0016188,              0.9268,             0.85736,             0.93409,             0.66893,            0.021987,            0.066376,           0.0087585,            0.005215,            0.005215,            0.005215
                 147,            0.021993,             0.12094,           0.0016403,             0.91549,             0.88158,             0.93454,             0.65657,            0.022915,            0.069878,           0.0078487,            0.005182,            0.005182,            0.005182
                 148,            0.021669,              0.1103,           0.0014009,             0.91411,             0.87628,             0.93214,             0.66155,            0.022494,            0.068253,           0.0088081,            0.005149,            0.005149,            0.005149
                 149,            0.022275,             0.12305,           0.0015813,             0.92646,             0.88115,             0.93372,             0.66592,             0.02238,            0.067474,           0.0072393,            0.005116,            0.005116,            0.005116
                 150,            0.022361,               0.126,           0.0015488,             0.92181,             0.89219,             0.93945,             0.66764,            0.022479,            0.066406,           0.0068083,            0.005083,            0.005083,            0.005083
                 151,            0.023324,             0.13235,           0.0018508,                0.89,              0.8675,             0.91167,             0.64818,            0.023583,            0.066727,           0.0090952,             0.00505,             0.00505,             0.00505
                 152,            0.020301,            0.094293,           0.0012946,             0.91553,             0.85019,             0.91043,             0.64099,            0.022269,             0.06398,            0.011375,            0.005017,            0.005017,            0.005017
                 153,            0.023312,             0.13736,            0.001814,             0.86189,             0.83849,             0.88218,             0.61392,            0.023259,            0.066704,            0.016085,            0.004984,            0.004984,            0.004984
                 154,            0.021371,             0.10565,           0.0012876,             0.90648,             0.89867,             0.93293,             0.66802,             0.02255,             0.06913,            0.006649,            0.004951,            0.004951,            0.004951
                 155,            0.023596,             0.14927,           0.0019539,             0.94228,             0.89007,             0.94361,              0.6701,            0.023309,            0.067139,           0.0058384,            0.004918,            0.004918,            0.004918
                 156,            0.022144,             0.12918,           0.0017754,             0.91333,             0.88118,             0.92218,             0.65393,            0.022801,             0.06855,           0.0080929,            0.004885,            0.004885,            0.004885
                 157,            0.022039,             0.12311,           0.0018312,             0.90977,             0.85451,             0.90614,             0.63151,            0.023743,            0.072243,            0.010782,            0.004852,            0.004852,            0.004852
